source_organisation,source_location,amountUSD,flow,destination_organisation,destination_location
Central Emergency Response Fund,,845921,incoming,United Nations Children's Fund,South Sudan
Food & Agriculture Organization of the United Nations,,13961658,incoming,Food & Agriculture Organization of the United Nations,South Sudan
Central Emergency Response Fund,,1826619,incoming,United Nations Office for Project Services,South Sudan
Central Emergency Response Fund,,992092,incoming,World Food Programme,South Sudan
"United States of America, Government of",United States,4136545,incoming,International Rescue Committee,South Sudan
"United Kingdom , Government of",United Kingdom,799379,incoming,United Nations Children's Fund,South Sudan
"Australia, Government of",Australia,5082685,incoming,South Sudan CHF,South Sudan
"United Kingdom , Government of",United Kingdom,1275848,incoming,Mercy Corps ,South Sudan
"United Kingdom , Government of",United Kingdom,638753,incoming,International Rescue Committee,South Sudan
"United Kingdom , Government of",United Kingdom,2333333,incoming,International Rescue Committee,South Sudan
"United Kingdom , Government of",United Kingdom,500000,incoming,International Medical Corps UK,South Sudan
"United Kingdom , Government of",United Kingdom,10188088,incoming,Food & Agriculture Organization of the United Nations,South Sudan
"United Kingdom , Government of",United Kingdom,20362050,incoming,South Sudan CHF,South Sudan
"Luxembourg, Government of",Luxembourg,25483,incoming,World Food Programme,South Sudan
"Luxembourg, Government of",Luxembourg,317460,incoming,CARITAS,South Sudan
"United States of America, Government of",United States,1855013,incoming,United Nations Children's Fund,South Sudan
World Food Programme,,2892699,incoming,World Food Programme,South Sudan
World Food Programme,,22478546,incoming,World Food Programme,South Sudan
African Development Bank,,1000000,incoming,World Food Programme,South Sudan
World Food Programme,,5899918,incoming,World Food Programme,South Sudan
World Food Programme,,1187183,incoming,World Food Programme,South Sudan
"United Kingdom , Government of",United Kingdom,706314,incoming,World Food Programme,South Sudan
"United Kingdom , Government of",United Kingdom,3021148,incoming,World Food Programme,South Sudan
"Switzerland, Government of",Switzerland,504534,incoming,International Organization for Migration,South Sudan
UN Programme on HIV/AIDS,,490000,incoming,United Nations High Commissioner for Refugees,South Sudan
"Holy See, Government of",Holy See (Vatican City State),3362,incoming,United Nations High Commissioner for Refugees,South Sudan
"Switzerland, Government of",Switzerland,756010,incoming,South Sudan CHF,South Sudan
"United Kingdom , Government of",United Kingdom,4027182,incoming,Mercy Corps ,South Sudan
"United Kingdom , Government of",United Kingdom,7645260,incoming,South Sudan CHF,South Sudan
"United Kingdom , Government of",United Kingdom,10214067,incoming,United Nations Children's Fund,South Sudan
"Turkey, Government of",Turkey,100000,incoming,Office for the Coordination of Humanitarian Affairs,South Sudan
"Turkey, Government of",Turkey,400000,incoming,Office for the Coordination of Humanitarian Affairs,South Sudan
UNICEF National Committee/Germany,,247831,incoming,United Nations Children's Fund,South Sudan
US Fund for UNICEF,,38684,incoming,United Nations Children's Fund,South Sudan
"Japan, Government of",Japan,4100000,incoming,United Nations Office for Project Services,South Sudan
"Norway, Government of",Norway,574647,incoming,Save the Children ,South Sudan
"Norway, Government of",Norway,171462,incoming,Norwegian Red Cross,South Sudan
"Germany, Government of",Germany,714286,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action),South Sudan
"Germany, Government of",Germany,841751,incoming,M̩decins sans Fronti̬res,South Sudan
"Canada, Government of",Canada,474308,incoming,Office for the Coordination of Humanitarian Affairs,South Sudan
"Finland, Government of",Finland,2244669,incoming,International Committee of the Red Cross,South Sudan
"Finland, Government of",Finland,448934,incoming,ACT Alliance / Finn Church Aid,South Sudan
"Finland, Government of",Finland,2120891,incoming,World Food Programme,South Sudan
"Luxembourg, Government of",Luxembourg,45494,incoming,Christian Solidarity International,South Sudan
"Luxembourg, Government of",Luxembourg,625782,incoming,United Nations High Commissioner for Refugees,South Sudan
"United Kingdom , Government of",United Kingdom,1538462,incoming,United Nations High Commissioner for Refugees,South Sudan
"United States of America, Government of",United States,84022,incoming,Christian Mission for Development,South Sudan
"United States of America, Government of",United States,61866,incoming,Street Children Aid,South Sudan
"Germany, Government of",Germany,608081,incoming,Help - Hilfe zur Selbsthilfe e.V.,South Sudan
"Germany, Government of",Germany,200000,incoming,Help - Hilfe zur Selbsthilfe e.V.,South Sudan
"Denmark, Government of",Denmark,584927,incoming,United Nations Population Fund,South Sudan
UNICEF National Committee/Australia,,51516,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Australia,,29167,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Belgium,,38837,incoming,United Nations Children's Fund,South Sudan
"Canada, Government of",Canada,1210435,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Finland,,119648,incoming,United Nations Children's Fund,South Sudan
Private (individuals & organisations),,5719,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Japan,,944283,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Finland,,84836,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Netherlands,,251705,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Poland,,98775,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Poland,,56443,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Poland,,45154,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Portugal,,228147,incoming,United Nations Children's Fund,South Sudan
Private (individuals & organisations),,60976,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/United Kingdom,,329168,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/United Kingdom,,156740,incoming,United Nations Children's Fund,South Sudan
US Fund for UNICEF,,55482,incoming,United Nations Children's Fund,South Sudan
US Fund for UNICEF,,29000,incoming,United Nations Children's Fund,South Sudan
"Sweden, Government of",Sweden,92894,incoming,Norwegian Refugee Council,South Sudan
"Canada, Government of",Canada,831708,incoming,International Organization for Migration,South Sudan
World Food Programme,,1232392,incoming,International Organization for Migration,South Sudan
"Denmark, Government of",Denmark,213155,incoming,Danish Red Cross,South Sudan
"Canada, Government of",Canada,2401922,incoming,M̩decins sans Fronti̬res - Canada,South Sudan
"Canada, Government of",Canada,800641,incoming,Save the Children ,South Sudan
"Canada, Government of",Canada,800641,incoming,Save the Children ,South Sudan
"Canada, Government of",Canada,1361089,incoming,World Relief,South Sudan
"Canada, Government of",Canada,697293,incoming,World Vision South Sudan,South Sudan
"Canada, Government of",Canada,680544,incoming,World Vision South Sudan,South Sudan
"Canada, Government of",Canada,3202562,incoming,World Vision South Sudan,South Sudan
"Canada, Government of",Canada,1573564,incoming,United Nations High Commissioner for Refugees,South Sudan
"Canada, Government of",Canada,3883106,incoming,International Committee of the Red Cross,South Sudan
"Canada, Government of",Canada,16915815,incoming,World Food Programme,South Sudan
"Canada, Government of",Canada,786782,incoming,World Food Programme,South Sudan
European Commission's Humanitarian Aid and Civil Protection Department,,64700000,incoming,UN Agencies;Red Cross Organizations;NGOs,South Sudan
"Sweden, Government of",Sweden,14600000,incoming,,South Sudan
"Japan, Government of",Japan,61320000,incoming,,South Sudan
"Norway, Government of",Norway,20000000,incoming,,South Sudan
"Italy, Government of",Italy,5000000,incoming,,South Sudan
"Switzerland, Government of",Switzerland,19400000,incoming,,South Sudan
"Netherlands, Government of",Netherlands,15100000,incoming,,South Sudan
"United States of America, Government of",United States,245000000,incoming,,South Sudan
"Ireland, Government of",Ireland,3255570,incoming,South Sudan CHF,South Sudan
"Germany, Government of",Germany,1091580,incoming,South Sudan CHF,South Sudan
"Switzerland, Government of",Switzerland,257998,incoming,World Food Programme,South Sudan
"Luxembourg, Government of",Luxembourg,75100,incoming,World Food Programme,South Sudan
"Luxembourg, Government of",Luxembourg,137552,incoming,World Food Programme,South Sudan
World Food Programme,,1133,incoming,World Food Programme,South Sudan
World Food Programme,,20938742,incoming,World Food Programme,South Sudan
World Food Programme,,22721352,incoming,World Food Programme,South Sudan
"Australia, Government of",Australia,2582288,incoming,World Food Programme,South Sudan
"Germany, Government of",Germany,2166847,incoming,International Committee of the Red Cross,South Sudan
"Germany, Government of",Germany,2166847,incoming,World Food Programme,South Sudan
"Germany, Government of",Germany,2953559,incoming,Johanniter Unfallhilfe e.V.,South Sudan
"Germany, Government of",Germany,1657638,incoming,HelpAge International,South Sudan
"Luxembourg, Government of",Luxembourg,283447,incoming,International Committee of the Red Cross,South Sudan
"Luxembourg, Government of",Luxembourg,130011,incoming,Handicap International,South Sudan
"Japan, Government of",Japan,425952,incoming,Japan Center for Conflict Prevention,South Sudan
"United States of America, Government of",United States,100000,incoming,INTERSOS,South Sudan
"United States of America, Government of",United States,650000,incoming,INTERSOS,South Sudan
"Canada, Government of",Canada,431712,incoming,International Organization for Migration,South Sudan
"United Kingdom , Government of",United Kingdom,3091380,incoming,International Organization for Migration,South Sudan
"Canada, Government of",Canada,400000,incoming,International Organization for Migration,South Sudan
"Canada, Government of",Canada,731710,incoming,International Organization for Migration,South Sudan
"Canada, Government of",Canada,931708,incoming,International Organization for Migration,South Sudan
United Nations High Commissioner for Refugees,,221847,incoming,International Organization for Migration,South Sudan
"Germany, Government of",Germany,585049,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,100000,incoming,World Vision South Sudan,South Sudan
World Bank,,449000,incoming,Relief International,South Sudan
European Commission,,203252,incoming,GOAL,South Sudan
"Ireland, Government of",Ireland,564538,incoming,GOAL,South Sudan
"Ireland, Government of",Ireland,530630,incoming,GOAL,South Sudan
"Ireland, Government of",Ireland,71068,incoming,South Sudan Development Agency,South Sudan
"United States of America, Government of",United States,1000000,incoming,Office for the Coordination of Humanitarian Affairs,South Sudan
Empty,,76203,incoming,Catholic Relief Services,South Sudan
"Canada, Government of",Canada,389172,incoming,Catholic Relief Services,South Sudan
Empty,,140038,incoming,Catholic Relief Services,South Sudan
Private (individuals & organisations),,220000,incoming,Islamic Relief Worldwide,South Sudan
Private (individuals & organisations),,196043,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,154062,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,4061171,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,583047,incoming,GOAL,South Sudan
Private (individuals & organisations),,376458,incoming,GOAL,South Sudan
European Commission,,951875,incoming,People in Need,South Sudan
"United States of America, Government of",United States,491554,incoming,Catholic Relief Services,South Sudan
"Germany, Government of",Germany,232483,incoming,Peace Corps Organization,South Sudan
World Bank,,462805,incoming,Nile Hope,South Sudan
Empty,,345651,incoming,Nile Hope,South Sudan
"Ireland, Government of",Ireland,428671,incoming,Oxfam Intermon,South Sudan
"Germany, Government of",Germany,180748,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action),South Sudan
"Republic of South Sudan, Government of",,678810,incoming,Polish Humanitarian Action,South Sudan
"Republic of South Sudan, Government of",,988142,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action),South Sudan
Empty,,446996,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action),South Sudan
European Commission,,755448,incoming,Concern Worldwide,South Sudan
European Commission,,1520952,incoming,Concern Worldwide,South Sudan
Empty,,65000,incoming,International Rescue Committee,South Sudan
Empty,,265139,incoming,International Rescue Committee,South Sudan
Private (individuals & organisations),,221239,incoming,International Rescue Committee,South Sudan
"Ireland, Government of",Ireland,203804,incoming,International Rescue Committee,South Sudan
International Organization for Migration,,738552,incoming,International Organization for Migration,South Sudan
International Organization for Migration,,738552,incoming,International Organization for Migration,South Sudan
International Organization for Migration,,738552,incoming,International Organization for Migration,South Sudan
"United States of America, Government of",United States,78800000,incoming,United Nations High Commissioner for Refugees,South Sudan
"France, Government of",France,250000,incoming,United Nations High Commissioner for Refugees,South Sudan
Private (individuals & organisations),,123,incoming,United Nations High Commissioner for Refugees,South Sudan
Private (individuals & organisations),,951,incoming,United Nations High Commissioner for Refugees,South Sudan
Private (individuals & organisations),,80000,incoming,World Vision South Sudan,South Sudan
"Ireland, Government of",Ireland,550000,incoming,World Vision South Sudan,South Sudan
United Nations Advance Mission in Sudan,,3183399,incoming,United Nations Mine Action Service,South Sudan
"United Kingdom , Government of",United Kingdom,7396450,incoming,Concern Worldwide,South Sudan
European Commission,,2713704,incoming,Concern Worldwide,South Sudan
European Commission,,1146341,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,375000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,200000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,225000,incoming,World Vision South Sudan,South Sudan
"Canada, Government of",Canada,550000,incoming,World Vision South Sudan,South Sudan
"Ireland, Government of",Ireland,250000,incoming,World Vision South Sudan,South Sudan
"Ireland, Government of",Ireland,160000,incoming,World Vision South Sudan,South Sudan
"Spain, Government of",Spain,20000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,50000,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,830000,incoming,World Vision South Sudan,South Sudan
Empty,,580000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,500000,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,440000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,150000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,50000,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,469752,incoming,OXFAM GB,South Sudan
Empty,,1268394,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,484094,incoming,Concern Worldwide,South Sudan
Empty,,2782200,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,426829,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,548611,incoming,Concern Worldwide,South Sudan
Private (individuals & organisations),,230000,incoming,Concern Worldwide,South Sudan
Empty,,29364,incoming,Handicap International,South Sudan
Empty,,233312,incoming,Christian Mission Aid,South Sudan
Empty,,113684,incoming,Christian Mission Aid,South Sudan
World Health Organization,,55417,incoming,Christian Mission Aid,South Sudan
Open Society Foundations,,15500,incoming,Impact Health Organization,South Sudan
"Ireland, Government of",Ireland,487805,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,441362,incoming,Concern Worldwide,South Sudan
"United States of America, Government of",United States,721848,incoming,Concern Worldwide,South Sudan
"United States of America, Government of",United States,2530248,incoming,OXFAM GB,South Sudan
"United States of America, Government of",United States,18809,incoming,Lacha Community and Economic Development,South Sudan
"Norway, Government of",Norway,409836,incoming,Norwegian Refugee Council,South Sudan
"Japan, Government of",Japan,200000,incoming,UN Women,South Sudan
Empty,,3945002,incoming,World Relief,South Sudan
Private (individuals & organisations),,250000,incoming,World Relief,South Sudan
"United States of America, Government of",United States,385509,incoming,World Relief,South Sudan
Private (individuals & organisations),,312175,incoming,Terre des Hommes - Lausanne,South Sudan
Empty,,136000,incoming,Comitato Collaborazione Medica,South Sudan
Empty,,130000,incoming,Comitato Collaborazione Medica,South Sudan
Empty,,437500,incoming,Collegio Universitario Aspirante e Medici Missionari,South Sudan
Empty,,690034,incoming,World Relief,South Sudan
Empty,,526099,incoming,Universal Intervention and Development Organization,South Sudan
Private (individuals & organisations),,53465,incoming,Universal Intervention and Development Organization,South Sudan
Private (individuals & organisations),,14466,incoming,Universal Intervention and Development Organization,South Sudan
Private (individuals & organisations),,329225,incoming,Help - Hilfe zur Selbsthilfe e.V.,South Sudan
Private (individuals & organisations),,1020954,incoming,ACT Alliance / DanChurchAid,South Sudan
"United States of America, Government of",United States,1000000,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
Private (individuals & organisations),,114533,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
Private (individuals & organisations),,14430,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
Private (individuals & organisations),,244747,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
Private (individuals & organisations),,2212389,incoming,Norwegian Refugee Council,South Sudan
Private (individuals & organisations),,100000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,400000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,100000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,291802,incoming,Confident Children out of Conflict,South Sudan
Private (individuals & organisations),,130000,incoming,World Vision South Sudan,South Sudan
European Commission,,409124,incoming,Confident Children out of Conflict,South Sudan
Private (individuals & organisations),,44358,incoming,Handicap International,South Sudan
Private (individuals & organisations),,64926,incoming,Handicap International,South Sudan
"Germany, Government of",Germany,106045,incoming,Handicap International,South Sudan
"Denmark, Government of",Denmark,16000,incoming,Danish Refugee Council,South Sudan
Private (individuals & organisations),,794509,incoming,CARE International,South Sudan
"Denmark, Government of",Denmark,20000,incoming,Danish Refugee Council,South Sudan
Empty,,4542252,incoming,CARE International,South Sudan
Private (individuals & organisations),,35142,incoming,CARE International,South Sudan
Private (individuals & organisations),,35000,incoming,American Refugee Committee,South Sudan
Private (individuals & organisations),,12509,incoming,Christian Mission for Development,South Sudan
Private (individuals & organisations),,5705,incoming,Christian Mission for Development,South Sudan
Private (individuals & organisations),,295858,incoming,Nonviolent Peaceforce,South Sudan
Private (individuals & organisations),,189599,incoming,Nonviolent Peaceforce,South Sudan
Private (individuals & organisations),,300000,incoming,Nonviolent Peaceforce,South Sudan
Private (individuals & organisations),,63340,incoming,Nonviolent Peaceforce,South Sudan
European Children's Trust,,429743,incoming,Nonviolent Peaceforce,South Sudan
"Netherlands, Government of",Netherlands,412890,incoming,Nonviolent Peaceforce,South Sudan
Private (individuals & organisations),,221239,incoming,International Rescue Committee,South Sudan
"Netherlands, Government of",Netherlands,1058268,incoming,CARE International,South Sudan
"United Kingdom , Government of",United Kingdom,283252,incoming,CARE International,South Sudan
Private (individuals & organisations),,4096521,incoming,Agency for Technical Cooperation and Development,South Sudan
"United Kingdom , Government of",United Kingdom,696430,incoming,Agency for Technical Cooperation and Development,South Sudan
"Denmark, Government of",Denmark,812000,incoming,Danish Refugee Council,South Sudan
"Denmark, Government of",Denmark,388457,incoming,Danish Refugee Council,South Sudan
"Denmark, Government of",Denmark,122850,incoming,Danish Refugee Council,South Sudan
"Denmark, Government of",Denmark,540403,incoming,Danish Refugee Council,South Sudan
"Denmark, Government of",Denmark,44045,incoming,Danish Refugee Council,South Sudan
Private (individuals & organisations),,730000,incoming,The Health Support Organization,South Sudan
Private (individuals & organisations),,250000,incoming,The Health Support Organization,South Sudan
"Denmark, Government of",Denmark,747490,incoming,Danish Refugee Council,South Sudan
"United Kingdom , Government of",United Kingdom,36664,incoming,Agency for Technical Cooperation and Development,South Sudan
United Nations High Commissioner for Refugees,,1300000,incoming,Samaritan's Purse,South Sudan
Private (individuals & organisations),,140038,incoming,Catholic Relief Services,South Sudan
"Denmark, Government of",Denmark,1023751,incoming,ACT Alliance / DanChurchAid,South Sudan
Private (individuals & organisations),,552455,incoming,ACT Alliance / DanChurchAid,South Sudan
Private (individuals & organisations),,49300,incoming,ACT Alliance / DanChurchAid,South Sudan
"Germany, Government of",Germany,216685,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action),South Sudan
Private (individuals & organisations),,80000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,23000,incoming,World Vision South Sudan,South Sudan
"Denmark, Government of",Denmark,101080,incoming,IBIS,South Sudan
Private (individuals & organisations),,53000,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
Empty,,823545,incoming,International Medical Corps UK,South Sudan
"United Kingdom , Government of",United Kingdom,500000,incoming,International Medical Corps UK,South Sudan
"Norway, Government of",Norway,1189061,incoming,Norwegian Refugee Council,South Sudan
Private (individuals & organisations),,117805,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,56098,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,218579,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,106585,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,1343874,incoming,TEARFUND,South Sudan
"United States of America, Government of",United States,640000,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,220000,incoming,Islamic Relief Worldwide,South Sudan
Private (individuals & organisations),,219055,incoming,Search for Common Ground,South Sudan
Private (individuals & organisations),,1014131,incoming,Search for Common Ground,South Sudan
Private (individuals & organisations),,43316,incoming,Plan International,South Sudan
Private (individuals & organisations),,300000,incoming,Plan International,South Sudan
Empty,,188720,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Empty,,180634,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,60976,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,277201,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,1361000,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,726045,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,214634,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Private (individuals & organisations),,31137,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
Private (individuals & organisations),,100000,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
Private (individuals & organisations),,319285,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
"Netherlands, Government of",Netherlands,566893,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
Empty,,251818,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
Empty,,143200,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
Empty,,53988,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
Empty,,3826,incoming,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,South Sudan
Empty,,3933,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,518135,incoming,MEDAIR,South Sudan
"United States of America, Government of",United States,666666,incoming,MEDAIR,South Sudan
"United States of America, Government of",United States,797055,incoming,Catholic Relief Services,South Sudan
"United States of America, Government of",United States,643612,incoming,Catholic Relief Services,South Sudan
"United States of America, Government of",United States,103620,incoming,Samaritan's Purse,South Sudan
"Netherlands, Government of",Netherlands,268100,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
"Netherlands, Government of",Netherlands,121860,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation,South Sudan
"Netherlands, Government of",Netherlands,329024,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation,South Sudan
"Netherlands, Government of",Netherlands,121013,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation,South Sudan
"Netherlands, Government of",Netherlands,221326,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation,South Sudan
"United States of America, Government of",United States,233500,incoming,World Relief,South Sudan
"United States of America, Government of",United States,866667,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,300000,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,1458595,incoming,American Refugee Committee,South Sudan
"United States of America, Government of",United States,4849700,incoming,Mentor Initiative,South Sudan
"United States of America, Government of",United States,875000,incoming,International Rescue Committee,South Sudan
"United States of America, Government of",United States,625000,incoming,International Rescue Committee,South Sudan
"United States of America, Government of",United States,620000,incoming,Danish Refugee Council,South Sudan
"United States of America, Government of",United States,1351946,incoming,Agency for Technical Cooperation and Development,South Sudan
"United States of America, Government of",United States,1003054,incoming,Agency for Technical Cooperation and Development,South Sudan
"United States of America, Government of",United States,625000,incoming,Danish Refugee Council,South Sudan
UNICEF National Committee/Poland,,432446,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Portugal,,13805,incoming,United Nations Children's Fund,South Sudan
"Sweden, Government of",Sweden,464468,incoming,United Nations Children's Fund,South Sudan
"Ireland, Government of",Ireland,191367,incoming,Universal Intervention and Development Organization,South Sudan
"United Kingdom , Government of",United Kingdom,477191,incoming,Norwegian Refugee Council,South Sudan
"Qatar, Government of",Qatar,50186,incoming,Qatar Red Crescent Society,South Sudan
European Commission,,2758621,incoming,Norwegian Refugee Council,South Sudan
"United States of America, Government of",United States,375786,incoming,Internews,South Sudan
United Nations Population Fund,,1151689,incoming,United Nations Population Fund,South Sudan
"United States of America, Government of",United States,750000,incoming,United Nations Population Fund,South Sudan
"United States of America, Government of",United States,3000000,incoming,Save the Children ,South Sudan
"Norway, Government of",Norway,1239000,incoming,Save the Children ,South Sudan
"Netherlands, Government of",Netherlands,1000000,incoming,Save the Children ,South Sudan
"United Kingdom , Government of",United Kingdom,1875000,incoming,Save the Children ,South Sudan
"Norway, Government of",Norway,1239000,incoming,Save the Children ,South Sudan
"Denmark, Government of",Denmark,992303,incoming,Save the Children ,South Sudan
International Organization for Migration,,300000,incoming,Save the Children ,South Sudan
"Denmark, Government of",Denmark,431000,incoming,Save the Children ,South Sudan
European Commission,,1700000,incoming,Save the Children ,South Sudan
"Denmark, Government of",Denmark,2985306,incoming,South Sudan CHF,South Sudan
Private (individuals & organisations),,15000,incoming,Kissito Healthcare International,South Sudan
