source_organisation,source_location,amountUSD,flow,destination_organisation,destination_location
Private (individuals & organisations),,56000,incoming,Kissito Healthcare International,South Sudan
Private (individuals & organisations),,72000,incoming,Kissito Healthcare International,South Sudan
"Japan, Government of",Japan,200000,incoming,United Nations Population Fund,South Sudan
"Netherlands, Government of",Netherlands,699593,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
"United States of America, Government of",United States,960000,incoming,MEDAIR,South Sudan
UNICEF National Committee/Portugal,,100849,incoming,United Nations Children's Fund,South Sudan
US Fund for UNICEF,,64474,incoming,United Nations Children's Fund,South Sudan
US Fund for UNICEF,,90263,incoming,United Nations Children's Fund,South Sudan
US Fund for UNICEF,,51579,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Finland,,52500,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Finland,,13726,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,1366667,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,1800000,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,416667,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,250000,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,860387,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,202020,incoming,Health Link South Sudan,South Sudan
Empty,,429606,incoming,The Health Support Organization,South Sudan
Private (individuals & organisations),,723605,incoming,GOAL,South Sudan
Private (individuals & organisations),,834339,incoming,GOAL,South Sudan
Empty,,1409271,incoming,GOAL,South Sudan
European Commission,,459955,incoming,GOAL,South Sudan
"Sweden, Government of",Sweden,539944,incoming,Swedish Red Cross ,South Sudan
"Sweden, Government of",Sweden,3483511,incoming,International Committee of the Red Cross,South Sudan
"Sweden, Government of",Sweden,928936,incoming,ACT Alliance / Church of Sweden,South Sudan
"Sweden, Government of",Sweden,1162926,incoming,Norwegian Refugee Council,South Sudan
"Sweden, Government of",Sweden,24389,incoming,Swedish Civil Contingencies Agency (MSB),South Sudan
"France, Government of",France,226757,incoming,Premi̬re Urgence - Aide M̩dicale Internationale,South Sudan
Samaritan's Purse,,230268,incoming,Samaritan's Purse,South Sudan
Samaritan's Purse,,627610,incoming,Samaritan's Purse,South Sudan
"Sweden, Government of",Sweden,694034,incoming,Swedish Mission Council,South Sudan
US Fund for UNICEF,,169160,incoming,United Nations Children's Fund,South Sudan
Private (individuals & organisations),,131647,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Luxembourg,,85056,incoming,United Nations Children's Fund,South Sudan
Central Emergency Response Fund,,285668,incoming,United Nations Children's Fund,South Sudan
"Luxembourg, Government of",Luxembourg,544662,incoming,United Nations High Commissioner for Refugees,South Sudan
Central Emergency Response Fund,,214638,incoming,United Nations Children's Fund,South Sudan
Central Emergency Response Fund,,1451678,incoming,United Nations High Commissioner for Refugees,South Sudan
"Ireland, Government of",Ireland,704000,incoming,World Vision South Sudan,South Sudan
"Denmark, Government of",Denmark,1460280,incoming,Food & Agriculture Organization of the United Nations,South Sudan
"United States of America, Government of",United States,26261,incoming,Chemonics International Inc.,South Sudan
"Luxembourg, Government of",Luxembourg,544662,incoming,International Committee of the Red Cross,South Sudan
"Luxembourg, Government of",Luxembourg,544662,incoming,World Food Programme,South Sudan
"Belgium, Government of",Belgium,1886366,incoming,TEARFUND,South Sudan
"Sweden, Government of",Sweden,1028278,incoming,Swedish Civil Contingencies Agency (MSB),South Sudan
Empty,,2600000,incoming,World Vision South Sudan,South Sudan
"Norway, Government of",Norway,6398917,incoming,South Sudan CHF,South Sudan
"Ireland, Government of",Ireland,977980,incoming,M̩decins sans Fronti̬res,South Sudan
"Germany, Government of",Germany,272331,incoming,United Nations Children's Fund,South Sudan
"Germany, Government of",Germany,544662,incoming,International Committee of the Red Cross,South Sudan
"Australia, Government of",Australia,2313279,incoming,South Sudan CHF,South Sudan
"Ireland, Government of",Ireland,521757,incoming,Trocaire,South Sudan
"Sweden, Government of",,0,incoming,,South Sudan
Empty,,0,incoming,,South Sudan
Empty,,0,incoming,,South Sudan
Empty,,0,incoming,,South Sudan
Empty,,0,incoming,,South Sudan
Empty,,0,incoming,,South Sudan
"Denmark, Government of",Denmark,292056,incoming,ACT Alliance / DanChurchAid,South Sudan
"Ireland, Government of",Ireland,467642,incoming,Concern Worldwide,South Sudan
UNICEF National Committee/Canada,,22906,incoming,United Nations Children's Fund,South Sudan
Empty,,615213,incoming,ACT Alliance / Lutheran World Federation,South Sudan
Central Emergency Response Fund,,203086,incoming,Food & Agriculture Organization of the United Nations,South Sudan
Central Emergency Response Fund,,1532689,incoming,International Organization for Migration,South Sudan
Central Emergency Response Fund,,2140000,incoming,World Food Programme,South Sudan
Central Emergency Response Fund,,678170,incoming,United Nations Children's Fund,South Sudan
Central Emergency Response Fund,,120362,incoming,United Nations Children's Fund,South Sudan
Central Emergency Response Fund,,518546,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,300000,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,40100000,incoming,International Committee of the Red Cross,South Sudan
"United States of America, Government of",United States,78840,incoming,Pearl of Africa Environment,South Sudan
"United States of America, Government of",United States,594116,incoming,,South Sudan
"United States of America, Government of",United States,599706,incoming,Mentor Initiative,South Sudan
"United States of America, Government of",United States,3097487,incoming,GOAL,South Sudan
"United States of America, Government of",United States,509129,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,2897344,incoming,Mercy Corps ,South Sudan
"United States of America, Government of",United States,4398521,incoming,World Food Programme,South Sudan
"United States of America, Government of",United States,259830045,incoming,World Food Programme,South Sudan
"Switzerland, Government of",Switzerland,31646,incoming,World Food Programme,South Sudan
Empty,,782998,incoming,Save the Children ,South Sudan
"Korea, Republic of, Government of","Korea, Republic of",800000,incoming,United Nations High Commissioner for Refugees,South Sudan
"Germany, Government of",Germany,8801614,incoming,United Nations High Commissioner for Refugees,South Sudan
World Food Programme,,410,incoming,World Food Programme,South Sudan
World Food Programme,,14766001,incoming,World Food Programme,South Sudan
"United States of America, Government of",United States,7000000,incoming,World Food Programme,South Sudan
"United States of America, Government of",United States,12400000,incoming,World Food Programme,South Sudan
"United States of America, Government of",United States,3000000,incoming,World Food Programme,South Sudan
Central Emergency Response Fund,,766687,incoming,World Health Organization,South Sudan
UNICEF National Committee/United Kingdom,,411528,incoming,United Nations Children's Fund,South Sudan
UNICEF National Committee/Hong Kong,,16307,incoming,United Nations Children's Fund,South Sudan
"Sweden, Government of",Sweden,240993,incoming,Norwegian Refugee Council,South Sudan
"United Kingdom , Government of",United Kingdom,15267176,incoming,South Sudan CHF,South Sudan
"United Kingdom , Government of",United Kingdom,1522620,incoming,International Organization for Migration,South Sudan
"United Kingdom , Government of",United Kingdom,2958580,incoming,World Food Programme,South Sudan
"United Kingdom , Government of",United Kingdom,17991004,incoming,World Food Programme,South Sudan
"United Kingdom , Government of",United Kingdom,4437870,incoming,World Food Programme,South Sudan
"Belgium, Government of",Belgium,2205832,incoming,South Sudan CHF,South Sudan
"United States of America, Government of",United States,2553811,incoming,Food & Agriculture Organization of the United Nations,South Sudan
Bill and Melinda Gates Foundation,,800000,incoming,International Medical Corps UK,South Sudan
"Saudi Arabia (Kingdom of), Government of",Saudi Arabia,171003,incoming,"Republic of South Sudan, Government of",South Sudan
"United States of America, Government of",United States,288689,incoming,Interchurch Medical Assistance World Health,South Sudan
"United States of America, Government of",United States,294381,incoming,Samaritan's Purse,South Sudan
"United States of America, Government of",United States,133800,incoming,Care for Children and Old Age in South Sudan,South Sudan
"United States of America, Government of",United States,23635,incoming,Standard Action Liaison Focus,South Sudan
"United States of America, Government of",United States,29751,incoming,Impact Health Organization,South Sudan
"United States of America, Government of",United States,816386,incoming,Nonviolent Peaceforce,South Sudan
"United States of America, Government of",United States,166488,incoming,Polish Humanitarian Action,South Sudan
"United States of America, Government of",United States,250173,incoming,The Health Support Organization,South Sudan
Private (individuals & organisations),,120000,incoming,ACT Alliance / DanChurchAid,South Sudan
"United States of America, Government of",United States,401329,incoming,ACF - USA,South Sudan
"Netherlands, Government of",Netherlands,670732,incoming,Catholic Organisation for Relief and Development Aid,South Sudan
UNICEF National Committee/Germany,,273224,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,2171464,incoming,United Nations Children's Fund,South Sudan
"France, Government of",France,335570,incoming,Agency for Technical Cooperation and Development,South Sudan
"Spain, Government of",Spain,546448,incoming,International Committee of the Red Cross,South Sudan
"Ireland, Government of",Ireland,112486,incoming,ACT Alliance / Christian Aid,South Sudan
"Belgium, Government of",Belgium,2212389,incoming,South Sudan CHF,South Sudan
"Japan, Government of",Japan,416945,incoming,United Nations High Commissioner for Refugees,South Sudan
"Austria, Government of",Austria,393701,incoming,International Committee of the Red Cross,South Sudan
"United Kingdom , Government of",United Kingdom,718738,incoming,International Medical Corps,South Sudan
"Sweden, Government of",Sweden,78379,incoming,Swedish Civil Contingencies Agency (MSB),South Sudan
"Denmark, Government of",Denmark,930221,incoming,Adventist Development and Relief Agency ,South Sudan
"Germany, Government of",Germany,100479,incoming,Johanniter Unfallhilfe e.V.,South Sudan
"Luxembourg, Government of",Luxembourg,83672,incoming,World Food Programme,South Sudan
"Korea, Republic of, Government of","Korea, Republic of",100000,incoming,World Food Programme,South Sudan
Private (individuals & organisations),,184,incoming,World Food Programme,South Sudan
"Germany, Government of",Germany,5464481,incoming,World Food Programme,South Sudan
Private (individuals & organisations),,71068,incoming,South Sudan Development Agency,South Sudan
"United States of America, Government of",United States,400000,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
"Republic of South Sudan, Government of",,914370,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action),South Sudan
"Republic of South Sudan, Government of",,1384308,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland),South Sudan
Private (individuals & organisations),,28140,incoming,Peace Corps Organization,South Sudan
"Republic of South Sudan, Government of",,450000,incoming,Plan International,South Sudan
Private (individuals & organisations),,180000,incoming,Support for Peace and Education Development Program,South Sudan
Private (individuals & organisations),,120000,incoming,Support for Peace and Education Development Program,South Sudan
UNICEF National Committee/Italy,,88864,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,3500000,incoming,United Nations Children's Fund,South Sudan
"United Kingdom , Government of",United Kingdom,1522070,incoming,United Nations Children's Fund,South Sudan
"Ireland, Government of",Ireland,312891,incoming,GOAL,South Sudan
"United States of America, Government of",United States,1813320,incoming,United Nations Children's Fund,South Sudan
"Germany, Government of",Germany,16835017,incoming,World Food Programme,South Sudan
"United Kingdom , Government of",United Kingdom,13846154,incoming,International Committee of the Red Cross,South Sudan
"United Kingdom , Government of",United Kingdom,3076923,incoming,Food & Agriculture Organization of the United Nations,South Sudan
"United Kingdom , Government of",United Kingdom,9230769,incoming,South Sudan CHF,South Sudan
"United Kingdom , Government of",United Kingdom,21538462,incoming,World Food Programme,South Sudan
"Switzerland, Government of",Switzerland,1014687,incoming,South Sudan CHF,South Sudan
"United States of America, Government of",United States,9800000,incoming,International Organization for Migration,South Sudan
"United States of America, Government of",United States,1147993,incoming,,South Sudan
World Food Programme,,1958599,incoming,World Food Programme,South Sudan
World Food Programme,,1707991,incoming,World Food Programme,South Sudan
World Food Programme,,18466833,incoming,World Food Programme,South Sudan
Private (individuals & organisations),,50000,incoming,IsraAID,South Sudan
"Republic of South Sudan, Government of",,446007,incoming,Polish Humanitarian Action,South Sudan
Empty,,169745,incoming,Concern Worldwide,South Sudan
Empty,,42894,incoming,Concern Worldwide,South Sudan
Empty,,288229,incoming,Concern Worldwide,South Sudan
Empty,,122433,incoming,Concern Worldwide,South Sudan
"United Kingdom , Government of",United Kingdom,674781,incoming,Concern Worldwide,South Sudan
"United States of America, Government of",United States,102346,incoming,Concern Worldwide,South Sudan
"United States of America, Government of",United States,290894,incoming,Concern Worldwide,South Sudan
"United States of America, Government of",United States,830557,incoming,Concern Worldwide,South Sudan
European Commission,,2186594,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,328023,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,669031,incoming,Concern Worldwide,South Sudan
"Ireland, Government of",Ireland,213582,incoming,Concern Worldwide,South Sudan
"United States of America, Government of",United States,300000,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,150000,incoming,World Vision South Sudan,South Sudan
Private (individuals & organisations),,30000,incoming,World Vision South Sudan,South Sudan
"United States of America, Government of",United States,1100000,incoming,International Organization for Migration,South Sudan
"United States of America, Government of",United States,580000,incoming,World Vision South Sudan,South Sudan
"United Kingdom , Government of",United Kingdom,1650000,incoming,International Organization for Migration,South Sudan
"United Kingdom , Government of",United Kingdom,3300000,incoming,International Organization for Migration,South Sudan
Private (individuals & organisations),,200000,incoming,Catholic Relief Services,South Sudan
Private (individuals & organisations),,56500,incoming,Real Medicine Foundation,South Sudan
"United States of America, Government of",United States,351650,incoming,Relief International,South Sudan
"United States of America, Government of",United States,533078,incoming,Relief International,South Sudan
Private (individuals & organisations),,791417,incoming,Relief International,South Sudan
Private (individuals & organisations),,834899,incoming,Relief International,South Sudan
Private (individuals & organisations),,110000,incoming,Relief International,South Sudan
Private (individuals & organisations),,1366202,incoming,Samaritan's Purse,South Sudan
Bill and Melinda Gates Foundation,,285528,incoming,International Medical Corps UK,South Sudan
"United States of America, Government of",United States,280000,incoming,ACF - USA,South Sudan
"United States of America, Government of",United States,2300000,incoming,ACF - USA,South Sudan
"United States of America, Government of",United States,3018422,incoming,Samaritan's Purse,South Sudan
Private (individuals & organisations),,32500,incoming,Samaritan's Purse,South Sudan
"United States of America, Government of",United States,872520,incoming,TEARFUND,South Sudan
"United States of America, Government of",United States,677120,incoming,TEARFUND,South Sudan
"United States of America, Government of",United States,892012,incoming,Polish Humanitarian Action,South Sudan
"United States of America, Government of",United States,328554,incoming,International Rescue Committee,South Sudan
"United States of America, Government of",United States,200000,incoming,International Organization for Migration,South Sudan
"United States of America, Government of",United States,635214,incoming,OXFAM GB,South Sudan
"United States of America, Government of",United States,737444,incoming,MEDAIR,South Sudan
"United States of America, Government of",United States,333333,incoming,MEDAIR,South Sudan
"Belgium, Government of",Belgium,251604,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,41179,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,66659,incoming,MEDAIR,South Sudan
"Ireland, Government of",Ireland,142077,incoming,Catholic Relief Services,South Sudan
Private (individuals & organisations),,205759,incoming,Handicap International,South Sudan
Private (individuals & organisations),,46763,incoming,Handicap International,South Sudan
"Belgium, Government of",Belgium,1064476,incoming,TEARFUND,South Sudan
"Ireland, Government of",Ireland,187735,incoming,TEARFUND,South Sudan
"Canada, Government of",Canada,449956,incoming,TEARFUND,South Sudan
"United States of America, Government of",United States,415000,incoming,International Medical Corps UK,South Sudan
"Canada, Government of",Canada,216138,incoming,TEARFUND,South Sudan
Private (individuals & organisations),,61378,incoming,Save the Children ,South Sudan
"United States of America, Government of",United States,697888,incoming,GOAL,South Sudan
Private (individuals & organisations),,86484,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,164411,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,2673933,incoming,MEDAIR,South Sudan
"United States of America, Government of",United States,1230082,incoming,MEDAIR,South Sudan
"United States of America, Government of",United States,2853787,incoming,MEDAIR,South Sudan
European Commission's Humanitarian Aid and Civil Protection Department,,263767,incoming,MEDAIR,South Sudan
"Denmark, Government of",Denmark,1260582,incoming,United Nations High Commissioner for Refugees,South Sudan
"Denmark, Government of",Denmark,270717,incoming,,South Sudan
"Ireland, Government of",Ireland,82237,incoming,OXFAM Ireland,South Sudan
Private (individuals & organisations),,56000,incoming,Kissito Healthcare International,South Sudan
"Germany, Government of",Germany,272331,incoming,United Nations Children's Fund,South Sudan
"Belgium, Government of",Belgium,245901,incoming,United Nations Children's Fund,South Sudan
"United Kingdom , Government of",United Kingdom,768569,incoming,United Nations Children's Fund,South Sudan
"United Kingdom , Government of",United Kingdom,768569,incoming,United Nations Children's Fund,South Sudan
"United Kingdom , Government of",United Kingdom,1509636,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,1033333,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,1000000,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,5422988,incoming,United Nations Children's Fund,South Sudan
Private (individuals & organisations),,277638,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,186605,incoming,MEDAIR,South Sudan
Private (individuals & organisations),,537403,incoming,MEDAIR,South Sudan
"Switzerland, Government of",Switzerland,4115226,incoming,International Committee of the Red Cross,South Sudan
"United States of America, Government of",United States,836455,incoming,MEDAIR,South Sudan
"Slovenia, Government of",Slovenia,32680,incoming,United Nations High Commissioner for Refugees,South Sudan
European Commission's Humanitarian Aid and Civil Protection Department,,1025762,incoming,MEDAIR,South Sudan
"Switzerland, Government of",Switzerland,2057613,incoming,World Food Programme,South Sudan
Central Emergency Response Fund,,1870338,incoming,United Nations Children's Fund,South Sudan
"Canada, Government of",Canada,370593,incoming,United Nations Children's Fund,South Sudan
"Denmark, Government of",Denmark,761267,incoming,Danish Refugee Council,South Sudan
"Italy, Government of",Italy,1589912,incoming,"Republic of South Sudan, Government of",South Sudan
"United Kingdom , Government of",United Kingdom,7186544,incoming,International Committee of the Red Cross,South Sudan
Private (individuals & organisations),,336548,incoming,United Nations High Commissioner for Refugees,South Sudan
European Commission,,1118569,incoming,United Nations High Commissioner for Refugees,South Sudan
"United Kingdom , Government of",United Kingdom,133017,incoming,World Food Programme,South Sudan
World Food Programme,,1284000,incoming,World Food Programme,South Sudan
Empty,,34518455,incoming,World Food Programme,South Sudan
"Japan, Government of",Japan,1000667,incoming,World Food Programme,South Sudan
"China, Government of",China,5000000,incoming,World Food Programme,South Sudan
"Qatar, Government of",Qatar,1000000,incoming,World Food Programme,South Sudan
"Norway, Government of",Norway,1910585,incoming,ACT Alliance / Norwegian Church Aid,South Sudan
"Denmark, Government of",Denmark,2031635,incoming,ACT Alliance / DanChurchAid,South Sudan
"Ireland, Government of",Ireland,1122334,incoming,International Committee of the Red Cross,South Sudan
"Switzerland, Government of",Switzerland,514403,incoming,World Food Programme,South Sudan
"Ireland, Government of",Ireland,1122334,incoming,United Nations High Commissioner for Refugees,South Sudan
"Japan, Government of",Japan,1089602,incoming,World Vision International,South Sudan
"Switzerland, Government of",Switzerland,1010101,incoming,International Organization for Migration,South Sudan
"Norway, Government of",Norway,460481,incoming,Norwegian Refugee Council,South Sudan
"Japan, Government of",Japan,968084,incoming,Peace Winds Japan,South Sudan
"Finland, Government of",Finland,2116402,incoming,World Food Programme,South Sudan
"United Kingdom , Government of",United Kingdom,9244992,incoming,International Committee of the Red Cross,South Sudan
"United Kingdom , Government of",United Kingdom,3058104,incoming,World Food Programme,South Sudan
"Denmark, Government of",Denmark,514403,incoming,Danish Red Cross,South Sudan
"Denmark, Government of",Denmark,150693,incoming,Danish Red Cross,South Sudan
"Denmark, Government of",Denmark,1171475,incoming,Danish Red Cross,South Sudan
"Denmark, Government of",Denmark,965027,incoming,M̩decins sans Fronti̬res,South Sudan
"Denmark, Government of",Denmark,956122,incoming,Save the Children ,South Sudan
"Denmark, Government of",Denmark,918577,incoming,ACT Alliance / DanChurchAid,South Sudan
"United Kingdom , Government of",United Kingdom,16819572,incoming,World Food Programme,South Sudan
"Norway, Government of",Norway,3267974,incoming,United Nations Children's Fund,South Sudan
"Denmark, Government of",Denmark,496313,incoming,M̩decins sans Fronti̬res,South Sudan
"United States of America, Government of",United States,2836998,incoming,United Nations Children's Fund,South Sudan
"United States of America, Government of",United States,189978217,incoming,World Food Programme,South Sudan
"United States of America, Government of",United States,789940,incoming,Agency for Technical Cooperation and Development,South Sudan
"United States of America, Government of",United States,1500000,incoming,Danish Refugee Council,South Sudan
"Luxembourg, Government of",Luxembourg,134921,incoming,CARITAS,South Sudan
"United States of America, Government of",United States,7851632,incoming,Catholic Relief Services,South Sudan
"United States of America, Government of",United States,1528721,incoming,Concern Worldwide,South Sudan
"United States of America, Government of",United States,1085000,incoming,International Medical Corps UK,South Sudan
"United States of America, Government of",United States,546446,incoming,International Rescue Committee,South Sudan
"United States of America, Government of",United States,2017676,incoming,International Rescue Committee,South Sudan
"United States of America, Government of",United States,895732,incoming,World Relief,South Sudan
"United States of America, Government of",United States,1500000,incoming,ACT Alliance / Lutheran World Relief,South Sudan
"United Kingdom , Government of",United Kingdom,1065449,incoming,United Nations Children's Fund,South Sudan
Private (individuals & organisations),,814996,incoming,United Nations Children's Fund,South Sudan
"Ireland, Government of",Ireland,228422,incoming,GOAL,South Sudan
"Denmark, Government of",Denmark,2945074,incoming,United Nations Children's Fund,South Sudan
"Luxembourg, Government of",Luxembourg,398885,incoming,South Sudan CHF,South Sudan
"United States of America, Government of",United States,381005,incoming,Catholic Relief Services,South Sudan
Common Humanitarian Fund,,21374478,incoming,South Sudan CHF,South Sudan
"Norway, Government of",Norway,583567,incoming,Norwegian Refugee Council,South Sudan
"United States of America, Government of",United States,4410008,incoming,World Food Programme,South Sudan
South Sudan CHF,South Sudan,344496,internal,World Vision South Sudan,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1089325,internal,Office for the Coordination of Humanitarian Affairs,South Sudan
Empty,South Sudan,612207,internal,Catholic Relief Services,South Sudan
Empty,South Sudan,797055,internal,Catholic Relief Services,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1083424,internal,World Food Programme,South Sudan
Empty,South Sudan,432489,internal,World Food Programme,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,240044,internal,Danish Refugee Council,South Sudan
Empty,South Sudan,643612,internal,Catholic Relief Services,South Sudan
Empty,South Sudan,630000,internal,Catholic Relief Services,South Sudan
Empty,South Sudan,400000,internal,Catholic Relief Services,South Sudan
Empty,South Sudan,2583530,internal,Catholic Relief Services,South Sudan
Empty,South Sudan,288101,internal,World Vision South Sudan,South Sudan
South Sudan CHF,South Sudan,1386645,internal,Office for the Coordination of Humanitarian Affairs,South Sudan
Empty,South Sudan,500000,internal,Food & Agriculture Organization of the United Nations,South Sudan
Empty,South Sudan,52687,internal,ACF - USA,South Sudan
Empty,South Sudan,105374,internal,M̩decins sans Fronti̬res,South Sudan
Empty,South Sudan,87460,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,52687,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,208641,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,263435,internal,,South Sudan
Empty,South Sudan,54795,internal,,South Sudan
Empty,South Sudan,300000,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,73762,internal,World Food Programme,South Sudan
Empty,South Sudan,147524,internal,MEDAIR,South Sudan
Empty,South Sudan,82434,internal,Private (individuals & organisations),South Sudan
Empty,South Sudan,2426765,internal,Private (individuals & organisations),South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1907969,internal,Premi̬re Urgence - Aide M̩dicale Internationale,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,785634,internal,TEARFUND,South Sudan
Empty,South Sudan,2500000,internal,United Nations Children's Fund,South Sudan
Empty,South Sudan,232068,internal,Norwegian Refugee Council,South Sudan
Empty,South Sudan,211618,internal,MEDAIR,South Sudan
Empty,South Sudan,9600000,internal,United Nations High Commissioner for Refugees,South Sudan
South Sudan CHF,South Sudan,99008,internal,Rural Development Initiative South Sudan,South Sudan
Empty,South Sudan,1000000,internal,Office for the Coordination of Humanitarian Affairs,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,15900318,internal,World Food Programme,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,2796421,internal,M̩decins sans Fronti̬res - Netherlands,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,1023564,internal,United Nations Children's Fund,South Sudan
UN Agencies;Red Cross Organizations;NGOs,South Sudan,100000,internal,World Vision South Sudan,South Sudan
Empty,South Sudan,430000,internal,Swedish Civil Contingencies Agency (MSB),South Sudan
South Sudan CHF,South Sudan,1572382,internal,World Food Programme,South Sudan
Empty,South Sudan,11500000,internal,United Nations High Commissioner for Refugees,South Sudan
Empty,South Sudan,860000,internal,Food for the Hungry ,South Sudan
Empty,South Sudan,3000000,internal,International Medical Corps UK,South Sudan
Empty,South Sudan,2900000,internal,International Organization for Migration,South Sudan
Empty,South Sudan,1403228,internal,Interchurch Medical Assistance World Health,South Sudan
Empty,South Sudan,908830,internal,International Rescue Committee,South Sudan
Empty,South Sudan,150000,internal,Mercy Corps ,South Sudan
Empty,South Sudan,2800000,internal,Solidarit̩s International,South Sudan
