source_organisation,amountUSD,flow,destination_organisation
Various Donor,931708,incoming,International Organization for Migration
Various Donor,930221,incoming,Adventist Development and Relief Agency 
Various Donor,930221,incoming,Adventist Development and Relief Agency 
Various Donor,928936,incoming,ACT Alliance / Church of Sweden
Various Donor,928936,incoming,ACT Alliance / Church of Sweden
Various Donor,923598,internal,International Rescue Committee
Various Donor,923000,internal,International Organization for Migration
Various Donor,918577,incoming,ACT Alliance / DanChurchAid
Various Donor,918577,incoming,ACT Alliance / DanChurchAid
Various Donor,915261,internal,GOAL
Various Donor,914370,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action)
Various Donor,913625,internal,GOAL
Various Donor,912800,internal,United Nations Children's Fund
Various Donor,908830,internal,International Rescue Committee
Various Donor,907801,internal,Norwegian Refugee Council
Various Donor,901639,internal,Norwegian Refugee Council
Various Donor,899881,internal,World Food Programme
Various Donor,895732,incoming,World Relief
Various Donor,895732,incoming,World Relief
Various Donor,892012,incoming,Polish Humanitarian Action
Various Donor,892012,incoming,Polish Humanitarian Action
Various Donor,891328,internal,Danish Refugee Council
Various Donor,882362,internal,United Nations Children's Fund
Various Donor,875000,incoming,International Rescue Committee
Various Donor,875000,incoming,International Rescue Committee
Various Donor,872520,incoming,TEARFUND
Various Donor,872520,incoming,TEARFUND
Various Donor,866667,incoming,United Nations Children's Fund
Various Donor,866667,incoming,United Nations Children's Fund
Various Donor,860387,incoming,World Vision South Sudan
Various Donor,860387,incoming,World Vision South Sudan
Various Donor,860000,internal,Food for the Hungry 
Various Donor,845921,incoming,United Nations Children's Fund
Various Donor,845921,incoming,United Nations Children's Fund
Various Donor,841751,incoming,M̩decins sans Fronti̬res
Various Donor,841751,incoming,M̩decins sans Fronti̬res
Various Donor,836455,incoming,MEDAIR
Various Donor,836455,incoming,MEDAIR
Various Donor,834899,incoming,Relief International
Various Donor,834339,incoming,GOAL
Various Donor,831708,incoming,International Organization for Migration
Various Donor,831708,incoming,International Organization for Migration
Various Donor,830557,incoming,Concern Worldwide
Various Donor,830557,incoming,Concern Worldwide
Various Donor,830000,incoming,World Vision South Sudan
Various Donor,830000,incoming,World Vision South Sudan
Various Donor,823545,incoming,International Medical Corps UK
Various Donor,816386,incoming,Nonviolent Peaceforce
Various Donor,816386,incoming,Nonviolent Peaceforce
Various Donor,814996,incoming,United Nations Children's Fund
Various Donor,812000,incoming,Danish Refugee Council
Various Donor,812000,incoming,Danish Refugee Council
Various Donor,811231,internal,Food & Agriculture Organization of the United Nations
Various Donor,810557,internal,Concern Worldwide
Various Donor,800641,incoming,Save the Children 
Various Donor,800641,incoming,Save the Children 
Various Donor,800641,incoming,Save the Children 
Various Donor,800641,incoming,Save the Children 
Various Donor,800096,internal,World Health Organization
Various Donor,800000,incoming,International Medical Corps UK
Various Donor,800000,incoming,United Nations High Commissioner for Refugees
Various Donor,800000,incoming,International Medical Corps UK
Various Donor,800000,incoming,United Nations High Commissioner for Refugees
Various Donor,799379,incoming,United Nations Children's Fund
Various Donor,799379,incoming,United Nations Children's Fund
Various Donor,797055,internal,Catholic Relief Services
Various Donor,797055,incoming,Catholic Relief Services
Various Donor,797055,incoming,Catholic Relief Services
Various Donor,794509,incoming,CARE International
Various Donor,791417,incoming,Relief International
Various Donor,790013,internal,International Organization for Migration
Various Donor,789940,incoming,Agency for Technical Cooperation and Development
Various Donor,789940,incoming,Agency for Technical Cooperation and Development
Various Donor,786782,incoming,World Food Programme
Various Donor,786782,incoming,World Food Programme
Various Donor,785634,internal,TEARFUND
Various Donor,782998,incoming,Save the Children 
Various Donor,774999,incoming,International Organization for Migration
Various Donor,774999,incoming,International Organization for Migration
Various Donor,774336,internal,Norwegian Refugee Council
Various Donor,768569,incoming,United Nations Children's Fund
Various Donor,768569,incoming,United Nations Children's Fund
Various Donor,768569,incoming,United Nations Children's Fund
Various Donor,768569,incoming,United Nations Children's Fund
Various Donor,766687,incoming,World Health Organization
Various Donor,766687,incoming,World Health Organization
Various Donor,761267,incoming,Danish Refugee Council
Various Donor,761267,incoming,Danish Refugee Council
Various Donor,756010,incoming,South Sudan CHF
Various Donor,756010,incoming,South Sudan CHF
Various Donor,755448,incoming,Concern Worldwide
Various Donor,755448,incoming,Concern Worldwide
Various Donor,750000,incoming,United Nations Population Fund
Various Donor,750000,incoming,United Nations Population Fund
Various Donor,747490,incoming,Danish Refugee Council
Various Donor,747490,incoming,Danish Refugee Council
Various Donor,742574,internal,OXFAM GB
Various Donor,739546,internal,Norwegian Refugee Council
Various Donor,737444,incoming,MEDAIR
Various Donor,737444,incoming,MEDAIR
Various Donor,731710,incoming,International Organization for Migration
Various Donor,731710,incoming,International Organization for Migration
Various Donor,730000,incoming,The Health Support Organization
Various Donor,726045,incoming,ACT Alliance / Lutheran World Federation
Various Donor,723605,incoming,GOAL
Various Donor,721848,incoming,Concern Worldwide
Various Donor,721848,incoming,Concern Worldwide
Various Donor,718738,incoming,International Medical Corps
Various Donor,718738,incoming,International Medical Corps
Various Donor,716204,internal,World Vision South Sudan
Various Donor,714286,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action)
Various Donor,714286,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action)
Various Donor,706314,incoming,World Food Programme
Various Donor,706314,incoming,World Food Programme
Various Donor,704000,incoming,World Vision South Sudan
Various Donor,704000,incoming,World Vision South Sudan
Various Donor,700000,internal,World Food Programme
Various Donor,700000,internal,International Organization for Migration
Various Donor,699593,incoming,Catholic Organisation for Relief and Development Aid
Various Donor,699593,incoming,Catholic Organisation for Relief and Development Aid
Various Donor,697888,incoming,GOAL
Various Donor,697888,incoming,GOAL
Various Donor,697293,incoming,World Vision South Sudan
Various Donor,697293,incoming,World Vision South Sudan
Various Donor,696430,incoming,Agency for Technical Cooperation and Development
Various Donor,696430,incoming,Agency for Technical Cooperation and Development
Various Donor,694034,incoming,Swedish Mission Council
Various Donor,694034,incoming,Swedish Mission Council
Various Donor,690034,incoming,World Relief
Various Donor,688103,internal,CARITAS
Various Donor,682060,outgoing,World Food Programme
Various Donor,680544,incoming,World Vision South Sudan
Various Donor,680544,incoming,World Vision South Sudan
Various Donor,678810,incoming,Polish Humanitarian Action
Various Donor,678170,incoming,United Nations Children's Fund
Various Donor,678170,incoming,United Nations Children's Fund
Various Donor,677310,internal,World Food Programme
Various Donor,677120,incoming,TEARFUND
Various Donor,677120,incoming,TEARFUND
Various Donor,675000,incoming,United Nations Children's Fund
Various Donor,675000,incoming,United Nations Children's Fund
Various Donor,674781,incoming,Concern Worldwide
Various Donor,674781,incoming,Concern Worldwide
Various Donor,670732,incoming,Catholic Organisation for Relief and Development Aid
Various Donor,670732,incoming,Catholic Organisation for Relief and Development Aid
Various Donor,669031,incoming,Concern Worldwide
Various Donor,669031,incoming,Concern Worldwide
Various Donor,666667,internal,World Food Programme
Various Donor,666666,incoming,MEDAIR
Various Donor,666666,incoming,MEDAIR
Various Donor,650000,incoming,INTERSOS
Various Donor,650000,incoming,INTERSOS
Various Donor,649993,internal,United Nations Population Fund
Various Donor,643612,internal,Catholic Relief Services
Various Donor,643612,incoming,Catholic Relief Services
Various Donor,643612,incoming,Catholic Relief Services
Various Donor,640000,incoming,MEDAIR
Various Donor,640000,incoming,MEDAIR
Various Donor,638753,incoming,International Rescue Committee
Various Donor,638753,incoming,International Rescue Committee
Various Donor,636780,internal,Office for the Coordination of Humanitarian Affairs
Various Donor,635214,incoming,OXFAM GB
Various Donor,635214,incoming,OXFAM GB
Various Donor,630010,internal,GOAL
Various Donor,630000,internal,Catholic Relief Services
Various Donor,625782,incoming,United Nations High Commissioner for Refugees
Various Donor,625782,incoming,United Nations High Commissioner for Refugees
Various Donor,625212,internal,United Nations Children's Fund
Various Donor,625000,incoming,International Rescue Committee
Various Donor,625000,incoming,Danish Refugee Council
Various Donor,625000,incoming,International Rescue Committee
Various Donor,625000,incoming,Danish Refugee Council
Various Donor,620000,incoming,Danish Refugee Council
Various Donor,620000,incoming,Danish Refugee Council
Various Donor,615213,incoming,ACT Alliance / Lutheran World Federation
Various Donor,612671,internal,OXFAM GB
Various Donor,612207,internal,Catholic Relief Services
Various Donor,609266,internal,International Organization for Migration
Various Donor,608081,incoming,Help - Hilfe zur Selbsthilfe e.V.
Various Donor,608081,incoming,Help - Hilfe zur Selbsthilfe e.V.
Various Donor,600525,internal,Norwegian Refugee Council
Various Donor,600000,internal,United Nations Population Fund
Various Donor,599979,internal,International Organization for Migration
Various Donor,599706,incoming,Mentor Initiative
Various Donor,599706,incoming,Mentor Initiative
Various Donor,596153,internal,Norwegian Red Cross
Various Donor,594116,incoming,empty
Various Donor,594116,incoming,empty
Various Donor,585049,incoming,World Vision South Sudan
Various Donor,585049,incoming,World Vision South Sudan
Various Donor,584927,incoming,United Nations Population Fund
Various Donor,584927,incoming,United Nations Population Fund
Various Donor,584158,internal,Agency for Technical Cooperation and Development
Various Donor,583567,incoming,Norwegian Refugee Council
Various Donor,583567,incoming,Norwegian Refugee Council
Various Donor,583333,internal,United Nations Children's Fund
Various Donor,583333,internal,United Nations Children's Fund
Various Donor,583200,internal,United Nations Children's Fund
Various Donor,583047,incoming,GOAL
Various Donor,583047,incoming,GOAL
Various Donor,580000,incoming,World Vision South Sudan
Various Donor,580000,incoming,World Vision South Sudan
Various Donor,580000,incoming,World Vision South Sudan
Various Donor,579600,internal,United Nations Population Fund
Various Donor,574647,incoming,Save the Children 
Various Donor,574647,incoming,Save the Children 
Various Donor,566893,incoming,Catholic Organisation for Relief and Development Aid
Various Donor,566893,incoming,Catholic Organisation for Relief and Development Aid
Various Donor,564538,incoming,GOAL
Various Donor,564538,incoming,GOAL
Various Donor,562430,internal,International Committee of the Red Cross
Various Donor,561167,incoming,United Nations Children's Fund
Various Donor,556700,internal,Oxfam Intermon
Various Donor,552455,incoming,ACT Alliance / DanChurchAid
Various Donor,550665,internal,South Sudan CHF
Various Donor,550000,incoming,World Vision South Sudan
Various Donor,550000,incoming,World Vision South Sudan
Various Donor,550000,incoming,World Vision South Sudan
Various Donor,550000,incoming,World Vision South Sudan
Various Donor,549583,internal,International Rescue Committee
Various Donor,548611,incoming,Concern Worldwide
Various Donor,548611,incoming,Concern Worldwide
Various Donor,546448,incoming,International Committee of the Red Cross
Various Donor,546448,incoming,International Committee of the Red Cross
Various Donor,546446,incoming,International Rescue Committee
Various Donor,546446,incoming,International Rescue Committee
Various Donor,544662,incoming,International Committee of the Red Cross
Various Donor,544662,incoming,United Nations High Commissioner for Refugees
Various Donor,544662,incoming,International Committee of the Red Cross
Various Donor,544662,incoming,World Food Programme
Various Donor,544662,incoming,International Committee of the Red Cross
Various Donor,544662,incoming,United Nations High Commissioner for Refugees
Various Donor,544662,incoming,International Committee of the Red Cross
Various Donor,544662,incoming,World Food Programme
Various Donor,540403,incoming,Danish Refugee Council
Various Donor,540403,incoming,Danish Refugee Council
Various Donor,539944,incoming,Swedish Red Cross 
Various Donor,539944,incoming,Swedish Red Cross 
Various Donor,537403,incoming,MEDAIR
Various Donor,533078,incoming,Relief International
Various Donor,533078,incoming,Relief International
Various Donor,531000,internal,World Vision South Sudan
Various Donor,530630,incoming,GOAL
Various Donor,530630,incoming,GOAL
Various Donor,530146,internal,Agency for Technical Cooperation and Development
Various Donor,526733,internal,International Rescue Committee
Various Donor,526099,incoming,Universal Intervention and Development Organization
Various Donor,521757,incoming,Trocaire
Various Donor,521757,incoming,Trocaire
Various Donor,520291,internal,United Nations High Commissioner for Refugees
Various Donor,520291,outgoing,United Nations High Commissioner for Refugees
Various Donor,518546,incoming,United Nations Children's Fund
Various Donor,518546,incoming,United Nations Children's Fund
Various Donor,518274,internal,United Nations Children's Fund
Various Donor,518135,incoming,MEDAIR
Various Donor,518135,internal,Office for the Coordination of Humanitarian Affairs
Various Donor,517975,internal,International Rescue Committee
Various Donor,514403,incoming,Danish Red Cross
Various Donor,514403,incoming,World Food Programme
Various Donor,514403,incoming,Danish Red Cross
Various Donor,514403,incoming,World Food Programme
Various Donor,509129,incoming,World Vision South Sudan
Various Donor,509129,incoming,World Vision South Sudan
Various Donor,504534,incoming,International Organization for Migration
Various Donor,504534,incoming,International Organization for Migration
Various Donor,500001,incoming,United Nations Children's Fund
Various Donor,500001,incoming,United Nations Children's Fund
Various Donor,500000,incoming,World Vision South Sudan
Various Donor,500000,internal,United Nations Department of Safety and Security
Various Donor,500000,internal,United Nations Children's Fund
Various Donor,500000,internal,Food & Agriculture Organization of the United Nations
Various Donor,500000,internal,United Nations Children's Fund
Various Donor,500000,incoming,International Medical Corps UK
Various Donor,500000,incoming,International Medical Corps UK
Various Donor,500000,incoming,International Medical Corps UK
Various Donor,500000,incoming,International Medical Corps UK
Various Donor,499967,internal,Mercy Corps 
Various Donor,499956,internal,International Organization for Migration
Various Donor,497194,internal,United Nations Children's Fund
Various Donor,496313,incoming,M̩decins sans Fronti̬res
Various Donor,496313,incoming,M̩decins sans Fronti̬res
Various Donor,495050,internal,Agency for Technical Cooperation and Development
Various Donor,495050,internal,Concern Worldwide
Various Donor,495050,internal,Danish Refugee Council
Various Donor,495050,internal,Solidarit̩s International
Various Donor,495049,internal,OXFAM GB
Various Donor,495042,internal,Universal Intervention and Development Organization
Various Donor,491554,incoming,Catholic Relief Services
Various Donor,491554,incoming,Catholic Relief Services
Various Donor,490000,incoming,United Nations High Commissioner for Refugees
Various Donor,490000,incoming,United Nations High Commissioner for Refugees
Various Donor,487805,incoming,Concern Worldwide
Various Donor,487805,incoming,Concern Worldwide
Various Donor,486342,internal,Agency for Technical Cooperation and Development
Various Donor,484094,incoming,Concern Worldwide
Various Donor,484094,incoming,Concern Worldwide
Various Donor,478825,internal,United Nations High Commissioner for Refugees
Various Donor,477191,incoming,Norwegian Refugee Council
Various Donor,477191,incoming,Norwegian Refugee Council
Various Donor,475291,internal,empty
Various Donor,475248,internal,Nile Hope
Various Donor,474308,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,474308,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,469752,incoming,OXFAM GB
Various Donor,469752,incoming,OXFAM GB
Various Donor,468919,internal,MEDAIR
Various Donor,467642,incoming,Concern Worldwide
Various Donor,467642,incoming,Concern Worldwide
Various Donor,464468,incoming,United Nations Children's Fund
Various Donor,464468,incoming,United Nations Children's Fund
Various Donor,462805,incoming,Nile Hope
Various Donor,462805,incoming,Nile Hope
Various Donor,460481,incoming,Norwegian Refugee Council
Various Donor,460481,incoming,Norwegian Refugee Council
Various Donor,459955,incoming,GOAL
Various Donor,459955,incoming,GOAL
Various Donor,453972,internal,Comitato di Coordinamento delle Organizzazione per il Servizio Volontario
Various Donor,450000,incoming,Plan International
Various Donor,449956,incoming,TEARFUND
Various Donor,449956,incoming,TEARFUND
Various Donor,449454,internal,International Organization for Migration
Various Donor,449000,incoming,Relief International
Various Donor,449000,incoming,Relief International
Various Donor,448934,incoming,ACT Alliance / Finn Church Aid
Various Donor,448934,incoming,ACT Alliance / Finn Church Aid
Various Donor,448199,internal,The Health Support Organization
Various Donor,446996,incoming,Deutsche Welthungerhilfe e.V. (German Agro Action)
Various Donor,446007,incoming,Polish Humanitarian Action
Various Donor,442478,internal,Danish Refugee Council
Various Donor,441362,incoming,Concern Worldwide
Various Donor,441362,incoming,Concern Worldwide
Various Donor,441205,internal,International Rescue Committee
Various Donor,440000,incoming,World Vision South Sudan
Various Donor,440000,incoming,World Vision South Sudan
Various Donor,437500,incoming,Collegio Universitario Aspirante e Medici Missionari
Various Donor,434783,outgoing,World Food Programme
Various Donor,432489,internal,World Food Programme
Various Donor,432446,incoming,United Nations Children's Fund
Various Donor,432446,incoming,United Nations Children's Fund
Various Donor,431712,incoming,International Organization for Migration
Various Donor,431712,incoming,International Organization for Migration
Various Donor,431000,incoming,Save the Children 
Various Donor,431000,incoming,Save the Children 
Various Donor,430000,internal,Swedish Civil Contingencies Agency (MSB)
Various Donor,429743,incoming,Nonviolent Peaceforce
Various Donor,429743,incoming,Nonviolent Peaceforce
Various Donor,429606,incoming,The Health Support Organization
Various Donor,429605,internal,Nonviolent Peaceforce
Various Donor,428671,incoming,Oxfam Intermon
Various Donor,428671,incoming,Oxfam Intermon
Various Donor,426829,incoming,Concern Worldwide
Various Donor,426829,incoming,Concern Worldwide
Various Donor,425952,incoming,Japan Center for Conflict Prevention
Various Donor,425952,incoming,Japan Center for Conflict Prevention
Various Donor,416945,incoming,United Nations High Commissioner for Refugees
Various Donor,416945,incoming,United Nations High Commissioner for Refugees
Various Donor,416667,incoming,United Nations Children's Fund
Various Donor,416667,incoming,United Nations Children's Fund
Various Donor,415855,internal,ACF - USA
Various Donor,415754,internal,Oxfam Intermon
Various Donor,415000,incoming,International Medical Corps UK
Various Donor,415000,incoming,International Medical Corps UK
Various Donor,412890,incoming,Nonviolent Peaceforce
Various Donor,412890,incoming,Nonviolent Peaceforce
Various Donor,411528,incoming,United Nations Children's Fund
Various Donor,411528,incoming,United Nations Children's Fund
Various Donor,409836,incoming,Norwegian Refugee Council
Various Donor,409836,incoming,Norwegian Refugee Council
Various Donor,409124,incoming,Confident Children out of Conflict
Various Donor,409124,incoming,Confident Children out of Conflict
Various Donor,401329,incoming,ACF - USA
Various Donor,401329,incoming,ACF - USA
Various Donor,400990,internal,MEDAIR
Various Donor,400002,internal,International Organization for Migration
Various Donor,400000,incoming,World Vision South Sudan
Various Donor,400000,internal,United Nations Children's Fund
Various Donor,400000,internal,United Nations Children's Fund
Various Donor,400000,internal,Catholic Relief Services
Various Donor,400000,incoming,International Organization for Migration
Various Donor,400000,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,400000,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland)
Various Donor,400000,incoming,International Organization for Migration
Various Donor,400000,incoming,Office for the Coordination of Humanitarian Affairs
Various Donor,400000,incoming,V̩t̩rinaires sans Fronti̬res (Switzerland)
Various Donor,399994,internal,International Organization for Migration
Various Donor,398885,incoming,South Sudan CHF
Various Donor,398885,incoming,South Sudan CHF
Various Donor,397421,internal,MEDAIR
Various Donor,396085,internal,ACF - USA
Various Donor,396040,internal,International Rescue Committee
Various Donor,396040,internal,Relief International
Various Donor,396040,internal,MEDAIR
Various Donor,396040,internal,MEDAIR
Various Donor,396038,internal,Concern Worldwide
Various Donor,394199,internal,Oxfam Intermon
Various Donor,393701,incoming,International Committee of the Red Cross
Various Donor,393701,incoming,International Committee of the Red Cross
Various Donor,391948,internal,International Medical Corps UK
Various Donor,389172,incoming,Catholic Relief Services
Various Donor,389172,incoming,Catholic Relief Services
Various Donor,388457,incoming,Danish Refugee Council
Various Donor,388457,incoming,Danish Refugee Council
Various Donor,385509,incoming,World Relief
Various Donor,385509,incoming,World Relief
Various Donor,384615,internal,Danish Refugee Council
Various Donor,381005,incoming,Catholic Relief Services
Various Donor,381005,incoming,Catholic Relief Services
Various Donor,376458,incoming,GOAL
Various Donor,375786,incoming,Internews
Various Donor,375786,incoming,Internews
Various Donor,375000,incoming,World Vision South Sudan
Various Donor,375000,incoming,World Vision South Sudan
Various Donor,370593,incoming,United Nations Children's Fund
Various Donor,370593,incoming,United Nations Children's Fund
Various Donor,368508,internal,Nile Hope
Various Donor,363220,internal,Norwegian Refugee Council
Various Donor,362817,internal,Norwegian Refugee Council
Various Donor,356394,internal,NGO FORUM
Various Donor,355632,internal,Concern Worldwide
Various Donor,354796,incoming,United Nations Children's Fund
Various Donor,354796,incoming,United Nations Children's Fund
Various Donor,352972,internal,Handicap International
Various Donor,352332,internal,World Food Programme
Various Donor,351650,incoming,Relief International
Various Donor,351650,incoming,Relief International
Various Donor,350991,internal,World Vision South Sudan
Various Donor,350000,internal,United Nations Population Fund
Various Donor,349992,internal,International Organization for Migration
Various Donor,348824,internal,Polish Humanitarian Action
Various Donor,348351,internal,OXFAM GB
Various Donor,347754,internal,Confident Children out of Conflict
Various Donor,346535,internal,International Rescue Committee
Various Donor,345651,incoming,Nile Hope
Various Donor,344496,internal,World Vision South Sudan
Various Donor,336548,incoming,United Nations High Commissioner for Refugees
Various Donor,336157,internal,Norwegian Refugee Council
Various Donor,335570,incoming,Agency for Technical Cooperation and Development
Various Donor,335570,incoming,Agency for Technical Cooperation and Development
Various Donor,333333,incoming,MEDAIR
Various Donor,333333,incoming,MEDAIR
Various Donor,329225,incoming,Help - Hilfe zur Selbsthilfe e.V.
Various Donor,329168,incoming,United Nations Children's Fund
Various Donor,329168,incoming,United Nations Children's Fund
Various Donor,329024,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation
Various Donor,329024,incoming,ACT Alliance / Interchurch Organisation for Development Co-operation
Various Donor,328554,incoming,International Rescue Committee
Various Donor,328554,incoming,International Rescue Committee
Various Donor,328023,incoming,Concern Worldwide
Various Donor,328023,incoming,Concern Worldwide
Various Donor,325027,internal,TEARFUND
Various Donor,322503,internal,International Organization for Migration
Various Donor,322500,internal,International Organization for Migration
Various Donor,319285,incoming,Catholic Organisation for Relief and Development Aid
Various Donor,318551,internal,ACT Alliance / Interchurch Organisation for Development Co-operation
Various Donor,317460,incoming,CARITAS
Various Donor,317460,incoming,CARITAS
Various Donor,313053,internal,Danish Refugee Council
Various Donor,312891,incoming,GOAL
Various Donor,312891,incoming,GOAL
Various Donor,312774,internal,Norwegian Refugee Council
Various Donor,312175,incoming,Terre des Hommes - Lausanne
Various Donor,309447,internal,Community in Need Aid
Various Donor,304394,internal,empty
Various Donor,302433,internal,World Health Organization
Various Donor,301522,internal,INTERSOS
Various Donor,300007,internal,World Health Organization
Various Donor,300000,incoming,Nonviolent Peaceforce
Various Donor,300000,incoming,Plan International
Various Donor,300000,incoming,Save the Children 
Various Donor,300000,internal,United Nations Children's Fund
Various Donor,300000,internal,United Nations Children's Fund
Various Donor,300000,internal,International Organization for Migration
Various Donor,300000,incoming,United Nations Children's Fund
Various Donor,300000,incoming,United Nations Children's Fund
Various Donor,300000,incoming,World Vision South Sudan
Various Donor,300000,incoming,United Nations Children's Fund
Various Donor,300000,incoming,United Nations Children's Fund
Various Donor,300000,incoming,World Vision South Sudan
Various Donor,299999,internal,United Nations Children's Fund
Various Donor,297031,internal,Health Link South Sudan
Various Donor,297030,internal,Comitato Collaborazione Medica
Various Donor,297030,internal,International Rescue Committee
Various Donor,297030,internal,Nile Hope
Various Donor,297030,internal,Catholic Relief Services
Various Donor,297029,internal,International Medical Corps UK
Various Donor,297028,internal,CARE International
Various Donor,296892,internal,ACF - USA
Various Donor,296608,internal,V̩t̩rinaires sans Fronti̬res (Germany)
Various Donor,296252,internal,Internews
Various Donor,295858,incoming,Nonviolent Peaceforce
Various Donor,295050,internal,Christian Mission for Development
Various Donor,294381,incoming,Samaritan's Purse
Various Donor,294381,incoming,Samaritan's Purse
Various Donor,292769,incoming,United Nations Children's Fund
Various Donor,292769,incoming,United Nations Children's Fund
Various Donor,292056,incoming,ACT Alliance / DanChurchAid
Various Donor,292056,incoming,ACT Alliance / DanChurchAid
Various Donor,291802,incoming,Confident Children out of Conflict
Various Donor,290894,incoming,Concern Worldwide
Various Donor,290894,incoming,Concern Worldwide
Various Donor,289622,internal,INTERSOS
Various Donor,288689,incoming,Interchurch Medical Assistance World Health
Various Donor,288689,incoming,Interchurch Medical Assistance World Health
Various Donor,288229,incoming,Concern Worldwide
Various Donor,288132,internal,International Medical Corps UK
Various Donor,288101,internal,World Vision South Sudan
